group,insertion,test_number,n_before,n_after,n_removed,mad_multiplier
TXPA LUT148 @ 76GHz tests 55211-55218,S2,55214,12028,11986,42,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S2,55215,12028,11982,46,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S2,55216,12028,11984,44,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S2,55217,12028,11980,48,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S2,55218,12028,11978,50,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S3,55211,11785,11685,100,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S3,55212,11785,11688,97,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S3,55213,11785,11691,94,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S3,55214,11785,11698,87,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S3,55215,11785,11681,104,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S3,55216,11785,11690,95,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S3,55217,11785,11683,102,5.0
TXPA LUT148 @ 76GHz tests 55211-55218,S3,55218,11785,11682,103,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S1,54211,12243,11320,923,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S1,54212,12243,11327,916,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S1,54213,12243,11278,965,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S1,54214,12243,11319,924,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S1,54215,12243,11232,1011,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S1,54216,12243,11329,914,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S1,54217,12243,11199,1044,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S1,54218,12243,11216,1027,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S2,54211,12028,11981,47,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S2,54212,12028,11986,42,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S2,54213,12028,11987,41,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S2,54214,12028,11983,45,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S2,54215,12028,11983,45,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S2,54216,12028,11982,46,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S2,54217,12028,11980,48,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S2,54218,12028,11981,47,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S3,54211,11785,11679,106,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S3,54212,11785,11678,107,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S3,54213,11785,11684,101,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S3,54214,11785,11685,100,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S3,54215,11785,11672,113,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S3,54216,11785,11679,106,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S3,54217,11785,11660,125,5.0
TXPA LUT148 @ 77GHz tests 54211-54218,S3,54218,11785,11672,113,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S1,53243,12243,10502,1741,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S1,53244,12243,10556,1687,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S1,53245,12243,10525,1718,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S1,53246,12243,10535,1708,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S1,53247,12243,10500,1743,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S1,53248,12243,10559,1684,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S1,53249,12243,10494,1749,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S1,53250,12243,10504,1739,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S2,53243,12028,11976,52,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S2,53244,12028,11957,71,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S2,53245,12028,11956,72,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S2,53246,12028,11971,57,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S2,53247,12028,11950,78,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S2,53248,12028,11959,69,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S2,53249,12028,11952,76,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S2,53250,12028,11946,82,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S3,53243,11785,11563,222,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S3,53244,11785,11525,260,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S3,53245,11785,11531,254,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S3,53246,11785,11544,241,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S3,53247,11785,11479,306,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S3,53248,11785,11522,263,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S3,53249,11785,11485,300,5.0
TXPA LUT148 @ 81GHz tests 53243-53250,S3,53250,11785,11490,295,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S1,55219,12243,11336,907,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S1,55220,12243,11340,903,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S1,55221,12243,11315,928,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S1,55222,12243,11371,872,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S1,55223,12243,11305,938,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S1,55224,12243,11384,859,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S1,55225,12243,11242,1001,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S1,55226,12243,11262,981,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S2,55219,12028,11972,56,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S2,55220,12028,11983,45,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S2,55221,12028,11979,49,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S2,55222,12028,11980,48,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S2,55223,12028,11981,47,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S2,55224,12028,11980,48,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S2,55225,12028,11973,55,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S2,55226,12028,11975,53,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S3,55219,11785,11672,113,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S3,55220,11785,11676,109,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S3,55221,11785,11684,101,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S3,55222,11785,11688,97,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S3,55223,11785,11676,109,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S3,55224,11785,11678,107,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S3,55225,11785,11661,124,5.0
TXPA LUT170 @ 76GHz tests 55219-55226,S3,55226,11785,11675,110,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S1,54219,12243,11159,1084,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S1,54220,12243,11183,1060,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S1,54221,12243,11132,1111,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S1,54222,12243,11184,1059,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S1,54223,12243,11078,1165,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S1,54224,12243,11173,1070,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S1,54225,12243,11041,1202,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S1,54226,12243,11074,1169,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S2,54219,12028,11972,56,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S2,54220,12028,11980,48,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S2,54221,12028,11976,52,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S2,54222,12028,11978,50,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S2,54223,12028,11978,50,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S2,54224,12028,11978,50,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S2,54225,12028,11974,54,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S2,54226,12028,11975,53,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S3,54219,11785,11661,124,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S3,54220,11785,11662,123,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S3,54221,11785,11668,117,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S3,54222,11785,11667,118,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S3,54223,11785,11658,127,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S3,54224,11785,11663,122,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S3,54225,11785,11642,143,5.0
TXPA LUT170 @ 77GHz tests 54219-54226,S3,54226,11785,11649,136,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S1,53251,12243,10441,1802,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S1,53252,12243,10479,1764,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S1,53253,12243,10456,1787,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S1,53254,12243,10474,1769,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S1,53255,12243,10458,1785,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S1,53256,12243,10483,1760,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S1,53257,12243,10451,1792,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S1,53258,12243,10443,1800,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S2,53251,12028,11949,79,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S2,53252,12028,11935,93,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S2,53253,12028,11931,97,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S2,53254,12028,11951,77,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S2,53255,12028,11913,115,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S2,53256,12028,11926,102,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S2,53257,12028,11924,104,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S2,53258,12028,11913,115,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S3,53251,11785,11493,292,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S3,53252,11785,11468,317,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S3,53253,11785,11469,316,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S3,53254,11785,11476,309,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S3,53255,11785,11421,364,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S3,53256,11785,11452,333,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S3,53257,11785,11401,384,5.0
TXPA LUT170 @ 81GHz tests 53251-53258,S3,53258,11785,11417,368,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S1,55227,12243,11270,973,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S1,55228,12243,11263,980,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S1,55229,12243,11239,1004,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S1,55230,12243,11288,955,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S1,55231,12243,11212,1031,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S1,55232,12243,11302,941,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S1,55233,12243,11198,1045,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S1,55234,12243,11203,1040,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S2,55227,12028,11969,59,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S2,55228,12028,11975,53,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S2,55229,12028,11973,55,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S2,55230,12028,11977,51,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S2,55231,12028,11975,53,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S2,55232,12028,11979,49,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S2,55233,12028,11968,60,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S2,55234,12028,11973,55,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S3,55227,11785,11668,117,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S3,55228,11785,11670,115,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S3,55229,11785,11674,111,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S3,55230,11785,11678,107,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S3,55231,11785,11670,115,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S3,55232,11785,11673,112,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S3,55233,11785,11656,129,5.0
TXPA LUT182 @ 76GHz tests 55227-55234,S3,55234,11785,11665,120,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S1,54227,12243,11068,1175,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S1,54228,12243,11101,1142,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S1,54229,12243,11056,1187,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S1,54230,12243,11109,1134,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S1,54231,12243,11024,1219,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S1,54232,12243,11113,1130,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S1,54233,12243,10984,1259,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S1,54234,12243,11001,1242,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S2,54227,12028,11972,56,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S2,54228,12028,11972,56,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S2,54229,12028,11970,58,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S2,54230,12028,11976,52,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S2,54231,12028,11972,56,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S2,54232,12028,11974,54,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S2,54233,12028,11968,60,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S2,54234,12028,11972,56,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S3,54227,11785,11653,132,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S3,54228,11785,11658,127,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S3,54229,11785,11658,127,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S3,54230,11785,11656,129,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S3,54231,11785,11650,135,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S3,54232,11785,11658,127,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S3,54233,11785,11633,152,5.0
TXPA LUT182 @ 77GHz tests 54227-54234,S3,54234,11785,11641,144,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S1,53259,12243,10420,1823,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S1,53260,12243,10456,1787,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S1,53261,12243,10437,1806,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S1,53262,12243,10441,1802,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S1,53263,12243,10447,1796,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S1,53264,12243,10464,1779,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S1,53265,12243,10436,1807,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S1,53266,12243,10431,1812,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S2,53259,12028,11936,92,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S2,53260,12028,11917,111,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S2,53261,12028,11921,107,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S2,53262,12028,11939,89,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S2,53263,12028,11903,125,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S2,53264,12028,11919,109,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S2,53265,12028,11908,120,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S2,53266,12028,11897,131,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S3,53259,11785,11453,332,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S3,53260,11785,11440,345,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S3,53261,11785,11442,343,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S3,53262,11785,11455,330,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S3,53263,11785,11383,402,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S3,53264,11785,11420,365,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S3,53265,11785,11366,419,5.0
TXPA LUT182 @ 81GHz tests 53259-53266,S3,53266,11785,11387,398,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S1,55235,12243,11195,1048,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S1,55236,12243,11191,1052,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S1,55237,12243,11140,1103,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S1,55238,12243,11225,1018,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S1,55239,12243,11136,1107,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S1,55240,12243,11226,1017,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S1,55241,12243,11124,1119,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S1,55242,12243,11128,1115,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S2,55235,12028,11966,62,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S2,55236,12028,11970,58,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S2,55237,12028,11969,59,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S2,55238,12028,11975,53,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S2,55239,12028,11970,58,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S2,55240,12028,11972,56,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S2,55241,12028,11962,66,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S2,55242,12028,11969,59,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S3,55235,11785,11659,126,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S3,55236,11785,11665,120,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S3,55237,11785,11668,117,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S3,55238,11785,11673,112,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S3,55239,11785,11664,121,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S3,55240,11785,11669,116,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S3,55241,11785,11646,139,5.0
TXPA LUT195 @ 76GHz tests 55235-55242,S3,55242,11785,11660,125,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S1,54235,12243,10971,1272,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S1,54236,12243,11035,1208,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S1,54237,12243,10960,1283,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S1,54238,12243,11018,1225,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S1,54239,12243,10943,1300,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S1,54240,12243,11012,1231,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S1,54241,12243,10923,1320,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S1,54242,12243,10912,1331,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S2,54235,12028,11964,64,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S2,54236,12028,11967,61,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S2,54237,12028,11962,66,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S2,54238,12028,11973,55,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S2,54239,12028,11967,61,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S2,54240,12028,11969,59,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S2,54241,12028,11961,67,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S2,54242,12028,11962,66,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S3,54235,11785,11641,144,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S3,54236,11785,11653,132,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S3,54237,11785,11650,135,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S3,54238,11785,11651,134,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S3,54239,11785,11641,144,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S3,54240,11785,11654,131,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S3,54241,11785,11615,170,5.0
TXPA LUT195 @ 77GHz tests 54235-54242,S3,54242,11785,11639,146,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S1,53267,12243,10406,1837,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S1,53268,12243,10435,1808,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S1,53269,12243,10420,1823,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S1,53270,12243,10421,1822,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S1,53271,12243,10424,1819,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S1,53272,12243,10447,1796,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S1,53273,12243,10417,1826,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S1,53274,12243,10420,1823,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S2,53267,12028,11912,116,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S2,53268,12028,11906,122,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S2,53269,12028,11909,119,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S2,53270,12028,11927,101,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S2,53271,12028,11884,144,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S2,53272,12028,11903,125,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S2,53273,12028,11893,135,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S2,53274,12028,11887,141,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S3,53267,11785,11425,360,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S3,53268,11785,11409,376,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S3,53269,11785,11419,366,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S3,53270,11785,11429,356,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S3,53271,11785,11355,430,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S3,53272,11785,11405,380,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S3,53273,11785,11334,451,5.0
TXPA LUT195 @ 81GHz tests 53267-53274,S3,53274,11785,11357,428,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S1,55243,12243,10902,1341,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S1,55244,12243,10952,1291,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S1,55245,12243,10880,1363,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S1,55246,12243,10948,1295,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S1,55247,12243,10900,1343,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S1,55248,12243,10974,1269,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S1,55249,12243,10892,1351,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S1,55250,12243,10855,1388,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S2,55243,12028,11955,73,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S2,55244,12028,11958,70,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S2,55245,12028,11954,74,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S2,55246,12028,11968,60,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S2,55247,12028,11962,66,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S2,55248,12028,11964,64,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S2,55249,12028,11949,79,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S2,55250,12028,11954,74,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S3,55243,11785,11637,148,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S3,55244,11785,11652,133,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S3,55245,11785,11643,142,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S3,55246,11785,11654,131,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S3,55247,11785,11646,139,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S3,55248,11785,11652,133,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S3,55249,11785,11628,157,5.0
TXPA LUT244 @ 76GHz tests 55243-55250,S3,55250,11785,11643,142,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S1,54243,12243,10715,1528,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S1,54244,12243,10743,1500,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S1,54245,12243,10692,1551,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S1,54246,12243,10743,1500,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S1,54247,12243,10686,1557,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S1,54248,12243,10792,1451,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S1,54249,12243,10712,1531,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S1,54250,12243,10683,1560,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S2,54243,12028,11947,81,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S2,54244,12028,11953,75,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S2,54245,12028,11950,78,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S2,54246,12028,11962,66,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S2,54247,12028,11954,74,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S2,54248,12028,11960,68,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S2,54249,12028,11943,85,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S2,54250,12028,11950,78,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S3,54243,11785,11624,161,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S3,54244,11785,11631,154,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S3,54245,11785,11620,165,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S3,54246,11785,11622,163,5.0
TXPA LUT244 @ 77GHz tests 54243-54250,S3,54247,11785,11609,176,5.0
