group,insertion,test_number,n_before,n_after,n_removed,mad_multiplier
TXPA LUT12 @ 77GHz tests 54147-54154,S3,54151,11785,11780,5,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S3,54152,11785,11783,2,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S3,54153,11785,11778,7,5.0
TXPA LUT12 @ 77GHz tests 54147-54154,S3,54154,11785,11777,8,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S1,53182,12243,12242,1,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S1,53183,12243,12242,1,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S1,53184,12243,12242,1,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S1,53186,12243,12242,1,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S2,53179,12028,12004,24,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S2,53180,12028,11734,294,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S2,53181,12028,11705,323,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S2,53182,12028,11715,313,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S2,53183,12028,11732,296,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S2,53184,12028,11708,320,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S2,53185,12028,11709,319,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S2,53186,12028,12005,23,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S3,53179,11785,11777,8,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S3,53180,11785,11781,4,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S3,53181,11785,11774,11,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S3,53182,11785,11781,4,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S3,53183,11785,11776,9,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S3,53184,11785,11776,9,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S3,53185,11785,11777,8,5.0
TXPA LUT12 @ 81GHz tests 53179-53186,S3,53186,11785,11777,8,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S1,55155,12243,12098,145,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S1,55156,12243,12115,128,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S1,55157,12243,12110,133,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S1,55158,12243,12111,132,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S1,55159,12243,12080,163,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S1,55160,12243,12084,159,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S1,55161,12243,12097,146,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S1,55162,12243,12084,159,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S2,55155,12028,11987,41,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S2,55156,12028,11994,34,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S2,55157,12028,12008,20,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S2,55158,12028,11980,48,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S2,55159,12028,11991,37,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S2,55160,12028,11984,44,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S2,55161,12028,11987,41,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S2,55162,12028,11986,42,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S3,55155,11785,11740,45,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S3,55156,11785,11727,58,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S3,55157,11785,11734,51,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S3,55158,11785,11742,43,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S3,55159,11785,11732,53,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S3,55160,11785,11735,50,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S3,55161,11785,11739,46,5.0
TXPA LUT22 @ 76GHz tests 55155-55162,S3,55162,11785,11728,57,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S1,54155,12243,12098,145,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S1,54156,12243,12108,135,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S1,54157,12243,12081,162,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S1,54158,12243,12094,149,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S1,54159,12243,12061,182,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S1,54160,12243,12061,182,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S1,54161,12243,12074,169,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S1,54162,12243,12079,164,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S2,54155,12028,11976,52,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S2,54156,12028,11990,38,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S2,54157,12028,11983,45,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S2,54158,12028,11989,39,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S2,54159,12028,11987,41,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S2,54160,12028,11973,55,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S2,54161,12028,11978,50,5.0
TXPA LUT22 @ 77GHz tests 54155-54162,S2,54162,12028,11975,53,5.0
