group,kind,insertion_type,insertion,temp_c,test_number,test_name,freq_ghz,lut,lo_idac,pa_channel,corr_median,corr_mean,n,mad_multiplier
TXLO test 57289,TXLO,FE,S2,-40,57289,TXLO_76LoPowCo78__D095,76,,78.0,,9.549550254282401,9.533322949502864,11884,5.0
TXLO test 57289,TXLO,FE,S3,25,57289,TXLO_76LoPowCo78__D095,76,,78.0,,9.613456904282407,9.600199847495702,11552,5.0
TXLO test 57290,TXLO,FE,S1,135,57290,TXLO_76LoPowCo96__D095,76,,96.0,,11.128472204282401,11.071763090014782,11053,5.0
TXLO test 57290,TXLO,FE,S2,-40,57290,TXLO_76LoPowCo96__D095,76,,96.0,,11.017667654282402,11.001887231901248,11885,5.0
TXLO test 57290,TXLO,FE,S3,25,57290,TXLO_76LoPowCo96__D095,76,,96.0,,11.1402641042824,11.123739038954028,11557,5.0
TXLO test 57291,TXLO,FE,S1,135,57291,TXLO_76LoPowCo112_D095,76,,112.0,,12.2995765042824,12.258514796712078,10594,5.0
TXLO test 57291,TXLO,FE,S2,-40,57291,TXLO_76LoPowCo112_D095,76,,112.0,,12.0105190042824,11.99122353733503,11875,5.0
TXLO test 57291,TXLO,FE,S3,25,57291,TXLO_76LoPowCo112_D095,76,,112.0,,12.2733905042824,12.2485800565989,11526,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S1,135,55147,TXPC_76FwLu12Tx1__D095,76,12.0,,TX1,-18.6976615512744,-18.40456988488029,12230,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S1,135,55148,TXPC_76FwLu12Tx2__D095,76,12.0,,TX2,-18.582251551274403,-18.33177880327636,12238,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S1,135,55149,TXPC_76FwLu12Tx3__D095,76,12.0,,TX3,-18.5481065512744,-18.30726960519597,12240,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S1,135,55150,TXPC_76FwLu12Tx4__D095,76,12.0,,TX4,-18.4321215512744,-18.240768770093318,12243,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S1,135,55151,TXPC_76FwLu12Tx5__D095,76,12.0,,TX5,-18.529221551274404,-18.298571137943245,12242,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S1,135,55152,TXPC_76FwLu12Tx6__D095,76,12.0,,TX6,-18.597491551274402,-18.343386546779836,12237,5.0
TXPA LUT12 @ 76GHz tests 55147-55154,TXPA,FE,S1,135,55153,TXPC_76FwLu12Tx7__D095,76,12.0,,TX7,-18.651201551274404,-18.371974738258295,12231,5.0
